"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","disc_number","duration_ms","track_number"
"200",2012,0.683,0.774,1,-7.633,1,0.334,0.00662,0.000492,0.0856,0.893,85.983,4,1,218840,12
"201",2012,0.682,0.931,11,-7.264,0,0.159,0.00887,0.00808,0.672,0.575,124.95,4,1,217146,13
"202",2012,0.505,0.797,6,-7.014,0,0.292,0.014,0.000276,0.0845,0.601,116.833,3,1,281320,14
"203",2012,0.602,0.79,0,-7.129,1,0.115,0.0302,0.0116,0.101,0.566,179.928,4,1,238120,15
"204",2012,0.777,0.593,10,-8.105,1,0.248,0.149,6.33e-05,0.104,0.675,84.931,4,1,239795,16
"205",2012,0.624,0.795,7,-7.049,1,0.274,0.0849,1.02e-05,0.508,0.516,93.578,4,1,214806,17
"206",2012,0.717,0.32,1,-13.749,0,0.681,0.15,0,0.121,0.424,76.355,4,1,113800,1
"207",2012,0.697,0.704,1,-8.703,0,0.461,0.572,0,0.0969,0.702,86.035,4,1,224520,2
"208",2012,0.752,0.526,0,-10.579,1,0.522,0.0908,3.28e-06,0.0929,0.939,148.059,4,1,299866,3
"209",2012,0.616,0.417,2,-9.406,1,0.338,0.54,0,0.102,0.327,159.395,4,1,241506,4
"210",2012,0.629,0.67,7,-8.678,1,0.385,0.0341,7.42e-05,0.132,0.758,171.892,4,1,180426,5
"211",2012,0.892,0.149,0,-13.371,1,0.0676,0.06,0.929,0.128,0.637,91.97,4,1,35986,6
"212",2012,0.695,0.527,9,-9.432,0,0.494,0.364,0,0.0953,0.717,81.973,4,1,251013,7
"213",2012,0.735,0.583,6,-10.05,1,0.561,0.11,8.15e-06,0.243,0.839,167.526,4,1,227280,8
"214",2012,0.534,0.512,11,-9.861,1,0.435,0.239,0,0.174,0.872,168.091,4,1,317680,9
"215",2012,0.691,0.795,7,-9.324,1,0.409,0.0332,0,0.0461,0.888,80.506,4,1,261853,10
"216",2012,0.734,0.587,1,-8.304,1,0.429,0.0768,0,0.632,0.82,91.531,4,1,122520,11
"217",2012,0.521,0.474,8,-15.869,1,0.0877,0.247,0.0484,0.242,0.169,184.405,4,1,21266,12
"218",2012,0.56,0.467,11,-9.001,0,0.641,0.456,0.0421,0.0936,0.341,171.728,4,1,293573,13
"219",2012,0.647,0.715,10,-10.483,0,0.409,0.106,0,0.328,0.79,82.275,4,1,231453,14
"220",2012,0.498,0.78,10,-7.302,0,0.431,0.0856,1.09e-06,0.375,0.384,74.516,1,1,284786,15
"221",2012,0.675,0.517,6,-8.987,1,0.698,0.0309,0,0.236,0.721,120.21,3,1,236666,16
"222",2012,0.567,0.434,1,-14.862,0,0.265,0.0468,0.0094,0.613,0.712,86.1,4,1,242040,17
"223",2012,0.447,0.719,1,-10.803,0,0.482,0.152,0.0843,0.091,0.092,176.005,4,1,286520,18
"224",2012,0.63,0.968,8,-7.977,0,0.571,0.152,0.749,0.082,0.163,176.071,4,1,46906,19
"225",2012,0.676,0.526,6,-11.065,1,0.443,0.346,0.000495,0.28,0.79,68.476,1,1,249986,20
"226",2009,0.622,0.356,10,-9.859,0,0.136,0.0217,0.848,0.107,0.301,170.091,4,1,218266,1
"227",2009,0.742,0.547,0,-9.841,1,0.0266,0.0831,0.523,0.104,0.614,116.062,4,1,244160,2
"228",2009,0.64,0.619,10,-7.88,0,0.0485,0.000366,0.735,0.11,0.327,87.998,4,1,245386,3
"229",2009,0.628,0.496,7,-11.633,1,0.248,0.00103,0.959,0.115,0.412,167.699,4,1,267200,4
"230",2009,0.639,0.427,6,-13.208,0,0.0638,0.12,0.846,0.355,0.694,168.057,4,1,301306,5
"231",2009,0.648,0.484,4,-8.542,1,0.0426,0.0769,0.768,0.207,0.654,95.964,4,1,199226,6
"232",2009,0.766,0.527,7,-9.976,1,0.112,0.0238,0.88,0.221,0.553,96.053,4,1,259640,7
"233",2009,0.717,0.511,1,-9.874,0,0.15,0.463,0.596,0.0991,0.685,79.979,4,1,231960,8
"234",2009,0.838,0.667,6,-10.809,0,0.211,0.221,0.912,0.084,0.72,86.037,4,1,295013,9
"235",2009,0.527,0.735,9,-10.196,1,0.0334,0.0246,0.632,0.231,0.4,100.003,4,1,237160,10
"236",2009,0.68,0.498,11,-11.814,0,0.0329,0.28,0.62,0.227,0.695,110.004,4,1,250840,11
"237",2009,0.462,0.424,3,-10.963,1,0.0543,0.00568,0.814,0.284,0.365,147.886,4,1,272866,12
